Latitude;Longitude;SampleNbr;al_exc_KCI;al_unspec;b_unspec;base_sat;b_ph_smp_d;ca_mehl2;ca_modmorg;ca_unspec;cec_unspec;cu_unspec;h_ba_sat;k_mehlich1;mg_nh4oac;mg_unspec;mn_unspec;om_unspec;p_mehlich1;ph_wtr_1_1;s_unspec;t_clay_pc;zn_unspec
Degrees;Degrees;ID;cmolc dm-3;%;ppm;%;pH;Rel Ca/K;Rel Ca/Mg;cmolc dm-3;cmolc dm-3;ppm;cmolc dm-3;mg dm-3;Rel Mg/K;cmolc dm-3;ppm;%;mg dm-3;pH;ppm;%;ppm
-27,630689;-53,470339;1;0;0;0,4;77;6,3;23;2,5;7,100012;13,3;4,2;3,1;121;9;2,800002;11;3,6;9,6;5,6;22;61;1,9
-27,630765;-53,46956;2;0;0;0,4;76;6,4;23;3,2;6,400005;11,4;3,2;2,800002;107;7;2;6;3,6;15;5,6;20;61;1,5
-27,631508;-53,472197;3;0;0;0,4;75;6,4;27;2,4;5,800016;11,2;3,4;2,800002;84;11;2,400001;11;3,1;11;5,6;21;61;1,2
-27,631525;-53,471236;4;0;0;0,4;72;6,3;22;2,5;5,500001;11;3,8;3,1;98;9;2,200001;9;3,1;10;5,5;22;61;1,2
-27,631542;-53,470275;5;0,3;3,4;0,5;66;6;18;2,9;6,000012;12,8;6,4;4,400001;129;6;2,099998;26;3,6;11;5,2;25;61;1,9
-27,631559;-53,469314;6;0,2;2,2;0,4;72;6,2;19;2,8;6,400005;12,5;4,9;3,500001;131;7;2,299999;12;3,9;15;5,4;29;61;1,8
-27,632318;-53,473363;7;0;0;0,4;74;6,2;24;2,7;6,900016;13,3;4,1;3,500001;112;9;2,600001;20;3,5;15;5,6;13;61;1,6
-27,632335;-53,472403;8;0;0;0,3;73;6,2;25;3,2;6,999995;13;4;3,500001;108;8;2,200001;20;3,4;17;5,5;22;61;1,3
-27,632352;-53,471442;9;0,1;1,2;0,2;68;6,1;24;2,8;5,899994;12,1;4,2;3,899998;96;9;2,099998;20;2,2;14;5,3;22;61;1,4
-27,632369;-53,470481;10;0;0;0,3;72;6,2;30;2,9;6,600002;12,6;3,8;3,500001;87;10;2,299999;15;3,3;17;5,5;22;61;1,4
-27,632386;-53,469521;11;0,2;2,4;0,3;68;6,1;23;3;5,899994;12;4,3;3,899998;101;8;2;12;3,2;14;5,3;27;61;1,2
-27,633051;-53,474675;12;0;0;0,2;79;6,3;23;2,7;8,099995;14,5;3,9;3,1;138;8;2,999998;19;3,7;20;5,7;11;61;1,6
-27,633068;-53,473715;13;0;0;0,3;79;6,3;24;2,9;8,400009;14,7;3,5;3,1;135;8;2,9;17;3,5;15;5,7;19;61;1,4
-27,633085;-53,472754;14;0,2;2,2;0,4;65;5,9;24;2,3;6,099991;13,9;3,3;4,900012;99;11;2,7;21;3,4;13;5,4;22;61;1,2
-27,633103;-53,471793;15;0;0;0,3;72;6,1;27;2,3;6,799998;13,8;3,4;3,899998;99;11;2,9;14;3,3;12;5,6;17;61;1
-27,63312;-53,470832;16;0;0;0,3;68;6;32;2,4;6,600002;13,9;3,2;4,400001;80;13;2,7;12;3,5;12;5,5;22;61;1,1
-27,633137;-53,469872;17;0;0;0,4;69;6;27;2,4;6,600002;14;3,3;4,400001;95;11;2,800002;10;3,6;12;5,5;18;61;1,2
-27,633211;-53,469163;18;0,1;1,1;0,4;65;5,9;26;2,7;6,400005;13,9;3,9;4,900012;97;10;2,400001;8;3,3;13;5,4;35;61;1,2
-27,634044;-53,474356;19;0;0;0,4;72;6;25;2,8;8,099995;15,7;3,1;4,400001;126;9;2,9;12;3,9;20;5,6;22;61;1,2
-27,634061;-53,473395;20;0;0;0,2;73;6,1;23;2,1;6,999995;14,5;3;3,899998;118;11;3,300001;13;3,5;18;5,4;15;61;1,1
-27,634078;-53,472434;21;0;0;0,3;80;6,3;24;2,5;8,499988;15,3;4,3;3,1;139;10;3,399999;8;4,2;12;6;20;61;1,4
-27,634095;-53,471428;22;0;0;0,3;71;6,2;17;2,2;5,500001;11,8;6,4;3,500001;127;8;2,499999;10;2,8;5,8;5,7;23;61;1,1
-27,634113;-53,470513;23;0;0;0,3;66;6;24;2,2;5,699998;12,9;5,6;4,400001;91;11;2,600001;14;3,3;5,6;5,5;27;61;1,1
-27,6341;-53,469494;24;0;0;0,2;70;6;33;2,3;6,999995;14,7;6,5;4,400001;83;15;3,100001;15;3,6;8,4;5,6;24;61;1,7
-27,634867;-53,473906;25;0;0;0,4;77;6,2;23;2,2;7,799981;15,1;4,2;3,500001;132;10;3,500001;10;3,3;14;5,8;26;61;1,2
-27,634885;-53,472945;26;0;0;0,3;72;6,1;21;2;6,299988;13,7;4,3;3,899998;116;11;3,199999;9;3,5;7,8;5,6;16;61;1,2
-27,634902;-53,471984;27;0;0;0,4;72;6,1;22;2;6,600002;14,1;5,5;3,899998;117;11;3,300001;15;3,5;8,6;5,7;22;61;1,4
-27,634916;-53,471048;28;0;0;0,3;67;6;23;2,6;6,299988;13,4;7,4;4,400001;109;9;2,400001;28;2,7;33;5,5;28;61;1,8
-27,634775;-53,470114;29;0;0;0,5;81;6,3;19;2,7;9,300014;16,3;9,1;3,1;193;7;3,399999;22;3,6;11;6;20;61;5,3
-27,635521;-53,473599;30;0;0;0,4;68;6;19;2,4;6,299988;13,6;3,9;4,400001;131;8;2,600001;12;3;15;5,6;27;61;1,4
-27,635565;-53,472675;31;0,1;1;0,3;66;5,9;18;2,4;6,600002;14,6;6,1;4,900012;147;7;2,7;26;3;8,6;5,4;29;61;1,5
-27,636145;-53,473457;32;0;0;0,4;71;6;21;2,2;7,199992;15,2;4,4;4,400001;133;10;3,300001;16;3,3;17;5,6;33;61;1,8
